time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2019/02/01/15:55:52.103726,7478,0,0,,0,0,30.6243839496,-96.3364294398,71.6464014474,"(0.0, 0.7578859329223633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.123760,7479,0,0,,0,0,30.6243839485,-96.3364294364,71.648829583,"(0.0, 0.7587491273880005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.143953,7480,0,0,,0,0,30.6243838762,-96.3364294552,71.6315982728,"(0.0, 0.7519242763519287, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.163606,7481,0,0,,0,0,30.6243838755,-96.336429452,71.634047962,"(0.0, 0.7527576684951782, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.183635,7482,0,0,,0,0,30.6243838745,-96.336429448,71.6364415519,"(0.0, 0.7535956501960754, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.203673,7483,0,0,,0,0,30.6243838736,-96.336429445,71.6388844379,"(0.0, 0.7544381618499756, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.223583,7484,0,0,,0,0,30.6243838728,-96.3364294417,71.6413238177,"(0.0, 0.7552856206893921, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.243627,7485,0,0,,0,0,30.624383872,-96.3364294381,71.6437667614,"(0.0, 0.7561371922492981, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.263527,7486,0,0,,0,0,30.624383871,-96.3364294354,71.6462315489,"(0.0, 0.7569936513900757, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.283570,7487,0,0,,0,0,30.6243838702,-96.3364294322,71.6486687966,"(0.0, 0.7578548789024353, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.303545,7488,0,0,,0,0,30.6243838692,-96.3364294289,71.6511120396,"(0.0, 0.758720874786377, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.323524,7489,0,0,,0,0,30.6243838682,-96.3364294258,71.6535734547,"(0.0, 0.7595915794372559, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.343610,7490,0,0,,0,0,30.6243838678,-96.3364294233,71.6560256615,"(0.0, 0.7604671120643616, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.363386,7491,0,0,,0,0,30.6243838447,-96.3364294286,71.6362695046,"(0.0, 0.7537531852722168, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.385359,7492,0,0,,0,0,30.6243838433,-96.3364294261,71.6386991411,"(0.0, 0.7546006441116333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.403550,7493,0,0,,0,0,30.6243838426,-96.3364294237,71.6410478625,"(0.0, 0.7554527521133423, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.423338,7494,0,0,,0,0,30.6243838424,-96.3364294204,71.6435059548,"(0.0, 0.7563095688819885, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.444532,7495,0,0,,0,0,30.6243838411,-96.3364294176,71.6459215131,"(0.0, 0.7571711540222168, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.464565,7496,0,0,,0,0,30.6243838403,-96.3364294149,71.6483546779,"(0.0, 0.7580374479293823, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.484372,7497,0,0,,0,0,30.6243838394,-96.3364294126,71.6506756103,"(0.0, 0.7589085102081299, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.504443,7498,0,0,,0,0,30.6243838391,-96.3364294095,71.6532125528,"(0.0, 0.7597844004631042, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.524167,7499,0,0,,0,0,30.624383838,-96.3364294067,71.655647061,"(0.0, 0.7606650590896606, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.544270,7500,0,0,,0,0,30.6243837723,-96.3364294231,71.6391891444,"(0.0, 0.7615506649017334, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.564120,7501,0,0,,0,0,30.6243837706,-96.3364294206,71.6416321578,"(0.0, 0.7541321516036987, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.584154,7502,0,0,,0,0,30.62438377,-96.3364294175,71.6440174208,"(0.0, 0.7549816370010376, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.604260,7503,0,0,,0,0,30.6243837689,-96.336429416,71.6463747071,"(0.0, 0.755835771560669, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.623981,7504,0,0,,0,0,30.6243837679,-96.3364294128,71.6487859231,"(0.0, 0.7566945552825928, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.644011,7505,0,0,,0,0,30.6243837665,-96.3364294101,71.6511392068,"(0.0, 0.7575581073760986, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.663800,7506,0,0,,0,0,30.6243837638,-96.336429405,71.6535000106,"(0.0, 0.758426308631897, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.683914,7507,0,0,,0,0,30.6243837596,-96.3364293989,71.6559710414,"(0.0, 0.7592992186546326, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.703950,7508,0,0,,0,0,30.6243837546,-96.3364293911,71.6585079076,"(0.0, 0.7601771354675293, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.723765,7509,0,0,,0,0,30.6243837488,-96.3364293821,71.6610085491,"(0.0, 0.7610597610473633, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.743701,7510,0,0,,0,0,30.6243837423,-96.3364293735,71.6634728672,"(0.0, 0.7619472146034241, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.763805,7511,0,0,,0,0,30.6243836629,-96.3364293339,71.6452484915,"(0.0, 0.7628396153450012, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.784449,7512,0,0,,0,0,30.6243836557,-96.3364293246,71.6474102748,"(0.0, 0.7560223937034607, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.803648,7513,0,0,,0,0,30.6243836485,-96.3364293146,71.6496118796,"(0.0, 0.7568861842155457, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.823961,7514,0,0,,0,0,30.6243836405,-96.3364293038,71.6519329661,"(0.0, 0.7577547430992126, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.843701,7515,0,0,,0,0,30.6243836312,-96.3364292897,71.6543906534,"(0.0, 0.7586280703544617, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.863821,7516,0,0,,0,0,30.6243836197,-96.3364292752,71.6568891441,"(0.0, 0.7595062851905823, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.884265,7517,0,0,,0,0,30.6243836069,-96.3364292578,71.6595010722,"(0.0, 0.7603891491889954, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.903706,7518,0,0,,0,0,30.6243835926,-96.3364292385,71.6620763808,"(0.0, 0.7612770199775696, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.923639,7519,0,0,,0,0,30.6243835773,-96.3364292176,71.664563215,"(0.0, 0.7621697187423706, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.943459,7520,0,0,,0,0,30.6243835611,-96.3364291966,71.6668962953,"(0.0, 0.7630674242973328, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.963523,7521,0,0,,0,0,30.6243835712,-96.336429017,71.6415246289,"(0.0, 0.7533337473869324, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:52.983777,7522,0,0,,0,0,30.624383554,-96.3364289917,71.643593733,"(0.0, 0.7541686296463013, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:53.003505,7523,0,0,,0,0,30.624383535,-96.3364289652,71.6457465568,"(0.0, 0.7550079226493835, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:53.023604,7524,0,0,,0,0,30.6243835146,-96.3364289359,71.6480258499,"(0.0, 0.7558518648147583, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:53.043491,7525,0,0,,0,0,30.6243834916,-96.3364289033,71.6503071564,"(0.0, 0.7567002773284912, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:53.064463,7526,0,0,,0,0,30.6243834667,-96.3364288693,71.6527224943,"(0.0, 0.7575533986091614, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:53.083500,7527,0,0,,0,0,30.62438344,-96.3364288324,71.6551978779,"(0.0, 0.7584110498428345, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:53.103601,7528,0,0,,0,0,30.6243834117,-96.3364287933,71.6576373724,"(0.0, 0.7592733502388, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2019/02/01/15:55:53.123327,7529,0,0,,0,0,30.6243833824,-96.3364287528,71.6599911579,"(0.0, 0.7601404786109924, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
