time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.gps_time,.Mag.x,.Mag.y,.Mag.z,.Accel.x,.Accel.y,.Accel.z,.Gyro.x,.Gyro.y,.Gyro.z,.Temp,.Pressure
2020/02/28/11:00:41.528891,2069,1582909241,528845639,vectornav,1266944459.47,0.0,0.0,0.0,-0.262284874916,0.637851595879,-10.0707778931,-0.000122995174024,-0.0104282665998,0.00364135019481,0.0,0.0
2020/02/28/11:00:41.548901,2070,1582909241,548842467,vectornav,1266944459.49,0.0,0.0,0.0,-0.272555798292,0.315636128187,-10.046245575,-0.00755484821275,-0.0109998714179,0.00380724575371,0.0,0.0
2020/02/28/11:00:41.568837,2071,1582909241,568809698,vectornav,1266944459.51,0.0,0.0,0.0,-0.12322165817,0.327899217606,-10.1650161743,-0.0032199753914,-0.00881597492844,0.00530999433249,0.0,0.0
2020/02/28/11:00:41.588902,2072,1582909241,588865689,vectornav,1266944459.53,0.0,0.0,0.0,-0.288760691881,0.1553196311,-9.49625587463,0.00296929921024,-0.0143345110118,0.00472840573639,0.0,0.0
2020/02/28/11:00:41.608789,2073,1582909241,608748903,vectornav,1266944459.55,0.0,0.0,0.0,-0.176765203476,0.0400422587991,-9.4524936676,-0.00035861224751,-0.0151014123112,0.00376319792122,0.0,0.0
2020/02/28/11:00:41.628861,2074,1582909241,628785210,vectornav,1266944459.57,0.0,0.0,0.0,-0.11849334836,0.0693522915244,-9.70473957062,-0.000417660630774,-0.0108533613384,0.00440432783216,0.0,0.0
2020/02/28/11:00:41.648851,2075,1582909241,648785313,vectornav,1266944459.59,0.0,0.0,0.0,-0.0155360531062,-0.0169979035854,-9.66135215759,-0.0109245274216,-0.00941538438201,0.00455452967435,0.0,0.0
2020/02/28/11:00:41.668828,2076,1582909241,668762894,vectornav,1266944459.61,0.0,0.0,0.0,-0.109014436603,0.18472777307,-9.90589523315,-0.00475871982053,-0.00642042141408,0.00543088745326,0.0,0.0
2020/02/28/11:00:41.688837,2077,1582909241,688782840,vectornav,1266944459.63,0.0,0.0,0.0,-0.159957289696,0.17628236115,-9.6751832962,0.00340571813285,0.00453866831958,0.00506441760808,0.0,0.0
2020/02/28/11:00:41.708810,2078,1582909241,708783922,vectornav,1266944459.65,0.0,0.0,0.0,-0.136702507734,0.13441349566,-9.5410528183,-0.0355852618814,0.00629446841776,0.00388338603079,0.0,0.0
2020/02/28/11:00:41.728840,2079,1582909241,728782230,vectornav,1266944459.67,0.0,0.0,0.0,-0.261415451765,0.0146716777235,-9.80681037903,-0.0271204132587,-0.00175880477764,0.00359419640154,0.0,0.0
2020/02/28/11:00:41.748793,2080,1582909241,748731499,vectornav,1266944459.69,0.0,0.0,0.0,-0.259341925383,0.260100632906,-9.5943107605,0.0314500741661,-0.0105705680326,0.0063902232796,0.0,0.0
2020/02/28/11:00:41.768850,2081,1582909241,768764517,vectornav,1266944459.71,0.0,0.0,0.0,-0.219219386578,0.0921092629433,-9.1517534256,-0.00462407432497,-0.00966876745224,0.00669554248452,0.0,0.0
2020/02/28/11:00:41.788841,2082,1582909241,788780564,vectornav,1266944459.73,0.0,0.0,0.0,-0.0483498498797,0.194472819567,-9.98604297638,-0.0299212783575,0.000325774075463,0.00631312187761,0.0,0.0
2020/02/28/11:00:41.808789,2083,1582909241,808738271,vectornav,1266944459.75,0.0,0.0,0.0,-0.14763969183,0.248046964407,-9.73829078674,0.00751610565931,0.0015219852794,0.00430729985237,0.0,0.0
2020/02/28/11:00:41.828840,2084,1582909241,828788090,vectornav,1266944459.77,0.0,0.0,0.0,-0.0685230568051,0.319270074368,-9.74266052246,-0.0115168010816,0.0015979509335,0.00469570793211,0.0,0.0
2020/02/28/11:00:41.848748,2085,1582909241,848702344,vectornav,1266944459.79,0.0,0.0,0.0,-0.0530263707042,0.100016884506,-10.2430915833,-0.0292351469398,0.0063265892677,0.00220716651529,0.0,0.0
2020/02/28/11:00:41.868782,2086,1582909241,868737121,vectornav,1266944459.81,0.0,0.0,0.0,-0.122025899589,0.103707894683,-10.0114202499,0.0198074728251,0.0118363741785,-0.000760942697525,0.0,0.0
2020/02/28/11:00:41.888830,2087,1582909241,888791339,vectornav,1266944459.83,0.0,0.0,0.0,-0.218812644482,0.324768990278,-9.56551742554,0.0134389391169,0.00553329242393,-0.000234612263739,0.0,0.0
2020/02/28/11:00:41.908804,2088,1582909241,908742013,vectornav,1266944459.85,0.0,0.0,0.0,-0.260826170444,0.442188054323,-9.53319358826,-0.0144458152354,-0.00080723548308,0.000130668282509,0.0,0.0
2020/02/28/11:00:41.928794,2089,1582909241,928716538,vectornav,1266944459.87,0.0,0.0,0.0,-0.456962108612,0.463143199682,-9.46618366241,-0.00718271266669,-0.00127659155987,0.00107466056943,0.0,0.0
2020/02/28/11:00:41.948801,2090,1582909241,948722232,vectornav,1266944459.89,0.0,0.0,0.0,-0.928103685379,0.212757587433,-9.22597694397,-0.0193772763014,-0.0208568070084,0.00202345754951,0.0,0.0
2020/02/28/11:00:41.968745,2091,1582909241,968714861,vectornav,1266944459.91,0.0,0.0,0.0,-0.380075931549,0.362123548985,-10.0638656616,-0.00208494253457,-0.00812719110399,0.000384796410799,0.0,0.0
2020/02/28/11:00:41.988780,2092,1582909241,988729829,vectornav,1266944459.93,0.0,0.0,0.0,0.112806200981,0.0331786200404,-10.194984436,-0.0461087524891,0.00349088991061,-0.00243968982249,0.0,0.0
2020/02/28/11:00:42.008704,2093,1582909242,8667597,vectornav,1266944459.95,0.0,0.0,0.0,0.121995449066,-0.0620914623141,-11.0032997131,-0.0546623021364,0.0132324900478,-0.00293050985783,0.0,0.0
2020/02/28/11:00:42.028755,2094,1582909242,28701148,vectornav,1266944459.97,0.0,0.0,0.0,0.131996974349,0.161035597324,-10.5168647766,0.0209713187069,0.0252935737371,-0.00223963707685,0.0,0.0
2020/02/28/11:00:42.048852,2095,1582909242,48696362,vectornav,1266944459.99,0.0,0.0,0.0,0.0473935455084,-0.344140440226,-9.99665641785,-0.00857488252223,0.0406592786312,-0.00444304849952,0.0,0.0
2020/02/28/11:00:42.068799,2096,1582909242,68716704,vectornav,1266944460.01,0.0,0.0,0.0,-0.199288502336,0.101465083659,-10.4776268005,-0.00409215642139,0.0413664840162,-0.00462802127004,0.0,0.0
2020/02/28/11:00:42.088750,2097,1582909242,88703380,vectornav,1266944460.03,0.0,0.0,0.0,-0.162759959698,0.0729968771338,-9.95310306549,0.0293373633176,0.0414818674326,-0.00460914894938,0.0,0.0
2020/02/28/11:00:42.108700,2098,1582909242,108672968,vectornav,1266944460.05,0.0,0.0,0.0,-0.29497218132,0.250747293234,-9.55918121338,-0.00778474472463,0.0488520301878,-0.00264406111091,0.0,0.0
2020/02/28/11:00:42.128745,2099,1582909242,128663407,vectornav,1266944460.07,0.0,0.0,0.0,-0.26756054163,0.23022633791,-9.97650146484,-0.0155566157773,0.037189245224,-0.00227605365217,0.0,0.0
2020/02/28/11:00:42.148706,2100,1582909242,148667179,vectornav,1266944460.09,0.0,0.0,0.0,-0.109860956669,0.296554237604,-9.55783653259,0.00253645377234,0.0315286070108,0.000346255488694,0.0,0.0
2020/02/28/11:00:42.168659,2101,1582909242,168611910,vectornav,1266944460.11,0.0,0.0,0.0,-0.148067116737,0.205117821693,-9.38946151733,-0.025219714269,0.0338681489229,0.00182672310621,0.0,0.0
2020/02/28/11:00:42.188658,2102,1582909242,188630790,vectornav,1266944460.13,0.0,0.0,0.0,-0.0947661101818,0.00291541218758,-9.64997768402,-0.0187423825264,0.027036588639,0.00129493512213,0.0,0.0
2020/02/28/11:00:42.208674,2103,1582909242,208597455,vectornav,1266944460.15,0.0,0.0,0.0,-0.157255828381,-0.183822184801,-9.66199493408,0.00278731156141,0.026157328859,-8.80509614944e-05,0.0,0.0
2020/02/28/11:00:42.228795,2104,1582909242,228731744,vectornav,1266944460.17,0.0,0.0,0.0,-0.0851386263967,0.486169338226,-9.55495834351,0.0119938217103,0.0206082742661,-0.000951483845711,0.0,0.0
2020/02/28/11:00:42.249650,2105,1582909242,249587892,vectornav,1266944460.19,0.0,0.0,0.0,-0.27869874239,0.255250632763,-9.32397270203,0.00636234832928,0.0108508709818,-0.00158123485744,0.0,0.0
2020/02/28/11:00:42.268779,2106,1582909242,268662920,vectornav,1266944460.21,0.0,0.0,0.0,-0.269654840231,0.38909560442,-10.418598175,0.00442209653556,0.00539219705388,-0.00255089066923,0.0,0.0
2020/02/28/11:00:42.288653,2107,1582909242,288597708,vectornav,1266944460.23,0.0,0.0,0.0,-0.295007616282,0.122270725667,-10.32538414,0.0180725324899,0.00588274607435,-0.00303717982024,0.0,0.0
2020/02/28/11:00:42.308656,2108,1582909242,308615149,vectornav,1266944460.25,0.0,0.0,0.0,-0.110465846956,0.370191752911,-10.3606567383,0.00981116294861,0.0169065371156,-0.00221340917051,0.0,0.0
2020/02/28/11:00:42.328622,2109,1582909242,328559625,vectornav,1266944460.27,0.0,0.0,0.0,-0.02115329355,0.181749776006,-10.249874115,-0.0114478087053,0.0238868389279,-0.00319205038249,0.0,0.0
2020/02/28/11:00:42.348725,2110,1582909242,348607970,vectornav,1266944460.29,0.0,0.0,0.0,0.0912382900715,0.411586225033,-10.1657867432,-0.0194968376309,0.0288004949689,-0.00177336577326,0.0,0.0
2020/02/28/11:00:42.369595,2111,1582909242,369555911,vectornav,1266944460.31,0.0,0.0,0.0,-0.145092815161,-0.0427232608199,-10.1058607101,-0.0181418582797,0.0223719477654,-0.00355318188667,0.0,0.0
2020/02/28/11:00:42.389577,2112,1582909242,389537050,vectornav,1266944460.33,0.0,0.0,0.0,-0.119926989079,0.178402066231,-9.83156204224,0.0315567627549,0.0258039664477,-0.00184393767267,0.0,0.0
2020/02/28/11:00:42.408633,2113,1582909242,408574845,vectornav,1266944460.35,0.0,0.0,0.0,-0.150786921382,0.508579671383,-8.91040039062,0.0356149151921,0.0167568977922,-0.00316554121673,0.0,0.0
2020/02/28/11:00:42.428603,2114,1582909242,428511435,vectornav,1266944460.37,0.0,0.0,0.0,-0.143784686923,0.393945366144,-9.16980934143,-0.00555424159393,0.019481189549,-0.000978510826826,0.0,0.0
2020/02/28/11:00:42.449707,2115,1582909242,449620143,vectornav,1266944460.39,0.0,0.0,0.0,-0.132898658514,0.195211455226,-9.70692253113,-0.00173435895704,0.018987281248,-0.00171850901097,0.0,0.0
2020/02/28/11:00:42.469609,2116,1582909242,469521760,vectornav,1266944460.41,0.0,0.0,0.0,-0.095164090395,-0.00912035629153,-9.90176200867,-0.0124901300296,0.0167048368603,-0.00225634966046,0.0,0.0
2020/02/28/11:00:42.489568,2117,1582909242,489514905,vectornav,1266944460.43,0.0,0.0,0.0,-0.0493189133704,0.19415821135,-10.0843410492,0.00021751614986,0.0211507547647,-0.00365075748414,0.0,0.0
2020/02/28/11:00:42.509583,2118,1582909242,509544264,vectornav,1266944460.45,0.0,0.0,0.0,-0.148860782385,0.100859679282,-10.1299247742,0.0162759814411,0.0283668711782,-0.00126516260207,0.0,0.0
2020/02/28/11:00:42.529583,2119,1582909242,529499065,vectornav,1266944460.47,0.0,0.0,0.0,-0.069754883647,0.401979058981,-9.90042495728,0.00739552779123,0.0203377846628,0.000706322491169,0.0,0.0
2020/02/28/11:00:42.549598,2120,1582909242,549537122,vectornav,1266944460.49,0.0,0.0,0.0,-0.138898864388,-0.116276793182,-10.1278877258,-0.00590835651383,0.0188900493085,-0.00134945195168,0.0,0.0
2020/02/28/11:00:42.569486,2121,1582909242,569441947,vectornav,1266944460.51,0.0,0.0,0.0,-0.145986244082,0.379387706518,-9.45113945007,0.0429283045232,0.0293616317213,0.000122087076306,0.0,0.0
2020/02/28/11:00:42.589597,2122,1582909242,589554148,vectornav,1266944460.53,0.0,0.0,0.0,-0.0138189867139,0.270923703909,-8.79255485535,-0.0100889345631,0.0231546591967,-0.00094610825181,0.0,0.0
2020/02/28/11:00:42.609504,2123,1582909242,609469874,vectornav,1266944460.55,0.0,0.0,0.0,-0.0515169724822,0.387401908636,-9.65491485596,-0.0259471982718,0.0140583850443,-0.00162167195231,0.0,0.0
2020/02/28/11:00:42.629533,2124,1582909242,629492950,vectornav,1266944460.57,0.0,0.0,0.0,-0.0522409379482,0.0648230388761,-9.85801506042,0.00727718695998,0.0165391601622,-0.00290782470256,0.0,0.0
2020/02/28/11:00:42.649505,2125,1582909242,649466208,vectornav,1266944460.59,0.0,0.0,0.0,-0.039756257087,0.190270259976,-9.47443580627,0.0115400403738,0.0145733179525,-0.0038670245558,0.0,0.0
2020/02/28/11:00:42.669564,2126,1582909242,669513012,vectornav,1266944460.61,0.0,0.0,0.0,0.0717027336359,0.34325158596,-9.99037361145,-0.0066500203684,0.0028655489441,-0.00243200734258,0.0,0.0
2020/02/28/11:00:42.689452,2127,1582909242,689412407,vectornav,1266944460.63,0.0,0.0,0.0,0.196929931641,0.579348385334,-10.1219043732,0.016057388857,0.0127341561019,-0.00221766438335,0.0,0.0
2020/02/28/11:00:42.709459,2128,1582909242,709404971,vectornav,1266944460.65,0.0,0.0,0.0,-0.640780448914,0.621447682381,-10.2778778076,0.00862466357648,0.0123064573854,-3.59863042831e-06,0.0,0.0
2020/02/28/11:00:42.729486,2129,1582909242,729415620,vectornav,1266944460.67,0.0,0.0,0.0,-0.458239525557,0.49826964736,-10.5357265472,0.0401358231902,0.0117454761639,-0.000642910599709,0.0,0.0
2020/02/28/11:00:42.749478,2130,1582909242,749408850,vectornav,1266944460.69,0.0,0.0,0.0,-0.399868577719,0.496481955051,-10.0660877228,0.0542486570776,0.0189548823982,-0.00311540905386,0.0,0.0
2020/02/28/11:00:42.769428,2131,1582909242,769385662,vectornav,1266944460.71,0.0,0.0,0.0,-0.06868699193,0.225365385413,-9.35142040253,0.0205213241279,0.0292853116989,-0.00147001165897,0.0,0.0
2020/02/28/11:00:42.789489,2132,1582909242,789442840,vectornav,1266944460.73,0.0,0.0,0.0,-0.128844171762,0.296869069338,-9.05509185791,-0.068512506783,0.0244467742741,-0.00238170009106,0.0,0.0
2020/02/28/11:00:42.809472,2133,1582909242,809440304,vectornav,1266944460.75,0.0,0.0,0.0,0.120701044798,-0.103861533105,-10.6974439621,-0.0562731176615,0.00684368051589,-0.00152098480612,0.0,0.0
2020/02/28/11:00:42.829530,2134,1582909242,829433994,vectornav,1266944460.77,0.0,0.0,0.0,-0.10139337182,-0.0732161030173,-10.3318376541,0.0399857126176,9.0105459094e-05,-0.00380189530551,0.0,0.0
2020/02/28/11:00:42.849428,2135,1582909242,849373412,vectornav,1266944460.79,0.0,0.0,0.0,-0.19670689106,0.779822409153,-9.05233383179,0.0914490297437,-0.0119556346908,-0.00199301913381,0.0,0.0
2020/02/28/11:00:42.869609,2136,1582909242,869537427,vectornav,1266944460.81,0.0,0.0,0.0,0.049085419625,0.452812612057,-9.08417606354,-0.0316701941192,-0.0090965507552,-0.000382674857974,0.0,0.0
2020/02/28/11:00:42.889532,2137,1582909242,889458400,vectornav,1266944460.83,0.0,0.0,0.0,-0.190761461854,0.162026777864,-10.5423994064,-0.0636816546321,0.00157637475058,-0.000908867456019,0.0,0.0
2020/02/28/11:00:42.909402,2138,1582909242,909355990,vectornav,1266944460.85,0.0,0.0,0.0,-0.112177461386,0.030112253502,-10.4710092545,0.0520692653954,-0.0151060651988,0.00180666521192,0.0,0.0
2020/02/28/11:00:42.929570,2139,1582909242,929493874,vectornav,1266944460.87,0.0,0.0,0.0,-0.352168679237,0.343467086554,-8.87935161591,0.0349356718361,-0.0234216377139,0.000969550572336,0.0,0.0
2020/02/28/11:00:42.949402,2140,1582909242,949336248,vectornav,1266944460.89,0.0,0.0,0.0,-0.136320859194,-0.0437530465424,-9.29797935486,-0.0288821086287,-0.0114789754152,0.00143242161721,0.0,0.0
2020/02/28/11:00:42.969391,2141,1582909242,969322536,vectornav,1266944460.91,0.0,0.0,0.0,0.0455179512501,0.257489293814,-10.336482048,-0.00849479902536,-0.0108108939603,0.00268293078989,0.0,0.0
2020/02/28/11:00:42.989443,2142,1582909242,989386175,vectornav,1266944460.93,0.0,0.0,0.0,0.0648218691349,0.32814347744,-9.55603694916,0.0722568556666,-0.0141197685152,0.000616570934653,0.0,0.0
2020/02/28/11:00:43.009370,2143,1582909243,9325413,vectornav,1266944460.95,0.0,0.0,0.0,0.140355616808,0.361402124166,-9.56084918976,-0.00707556214184,-0.00783182866871,0.000354988500476,0.0,0.0
2020/02/28/11:00:43.029392,2144,1582909243,29354074,vectornav,1266944460.97,0.0,0.0,0.0,0.0798461586237,0.166643679142,-10.3649358749,-0.0290376823395,0.0106031671166,-0.00138022191823,0.0,0.0
2020/02/28/11:00:43.049388,2145,1582909243,49326727,vectornav,1266944460.99,0.0,0.0,0.0,-0.128561213613,0.288441538811,-10.1797657013,0.00995349511504,0.009182844311,-0.00185740925372,0.0,0.0
2020/02/28/11:00:43.069396,2146,1582909243,69354994,vectornav,1266944461.01,0.0,0.0,0.0,-0.105538740754,0.27900454402,-9.18797874451,0.011813044548,0.00062495097518,-0.00239793118089,0.0,0.0
2020/02/28/11:00:43.089409,2147,1582909243,89315507,vectornav,1266944461.03,0.0,0.0,0.0,-0.153359279037,0.29519033432,-9.09653186798,-0.0115852719173,0.0027631316334,-0.00340241938829,0.0,0.0
2020/02/28/11:00:43.109317,2148,1582909243,109274270,vectornav,1266944461.05,0.0,0.0,0.0,-0.0904775559902,0.309062123299,-9.22465896606,-0.028866160661,0.000681231729686,-0.00501079671085,0.0,0.0
