time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.Time,.Week,.Status,.RPY.x,.RPY.y,.RPY.z,.LLA.x,.LLA.y,.LLA.z,.NedVel.x,.NedVel.y,.NedVel.z,.YawUncertainty,.PitchUncertainty,.RollUncertainty,.PosUncertainty,.VelUncertainty,.SyncInTime,.SyncInCount
2020/02/28/11:00:07.866730,11401,1582909207,866664162,vectornav,1266944425.81,2094,39686,-1.57463717461,-0.637531042099,-163.414978027,30.673080906,-96.3728975216,85.4257570251,-0.0122777558863,-0.00510170916095,0.108102470636,1.1098279953,0.0856786370277,0.0855485573411,0.674798488617,0.0997567921877,1582908092.53,0
2020/02/28/11:00:07.886840,11402,1582909207,886718700,vectornav,1266944425.83,2094,39686,-1.57451379299,-0.637689769268,-163.415374756,30.6730809035,-96.3728975226,85.423582225,-0.0126347988844,-0.00534520484507,0.108235523105,1.11007452011,0.0858104079962,0.0856806263328,0.675770103931,0.100097775459,1582908092.53,0
2020/02/28/11:00:07.906734,11403,1582909207,906673715,vectornav,1266944425.85,2094,39686,-1.57393467426,-0.63874232769,-163.414550781,30.6730809014,-96.3728975242,85.4214235027,-0.0127859599888,-0.00560272345319,0.108553692698,1.11032116413,0.0859422981739,0.0858126059175,0.676746785641,0.10043951869,1582908092.53,0
2020/02/28/11:00:07.926820,11404,1582909207,926680396,vectornav,1266944425.87,2094,774,-1.57447302341,-0.63861232996,-163.413879395,30.6730808985,-96.3728975252,85.4192588603,-0.0129726156592,-0.00561517756432,0.108776763082,1.11056804657,0.0860742628574,0.0859447568655,0.677728593349,0.100781857967,1582908092.53,0
2020/02/28/11:00:07.946725,11405,1582909207,946650549,vectornav,1266944425.89,2094,774,-1.57488703728,-0.639179825783,-163.4140625,30.6730808966,-96.3728975266,85.4170711143,-0.0132759399712,-0.00572106800973,0.108966946602,1.11081457138,0.0862063243985,0.0860772132874,0.678715586662,0.101124823093,1582908092.53,0
2020/02/28/11:00:07.966660,11406,1582909207,966598040,vectornav,1266944425.91,2094,33542,-1.57467460632,-0.639713168144,-163.413391113,30.6730808946,-96.3728975278,85.4149548293,-0.0134254433215,-0.00584553554654,0.109234258533,1.11106169224,0.0863384380937,0.0862091630697,0.679707765579,0.101468287408,1582908092.53,0
2020/02/28/11:00:07.986770,11407,1582909207,986706197,vectornav,1266944425.93,2094,33542,-1.57494282722,-0.639985203743,-163.413208008,30.6730810088,-96.372897501,85.442738071,-0.0116713568568,-0.00569161120802,0.105638325214,1.11130571365,0.0850907117128,0.0849596560001,0.670815169811,0.0981492400169,1582908092.53,0
2020/02/28/11:00:08.006786,11408,1582909208,6665837,vectornav,1266944425.95,2094,33542,-1.57476246357,-0.639883875847,-163.413848877,30.6730810064,-96.3728975024,85.4406711358,-0.0118560828269,-0.00552498316392,0.105808094144,1.11155247688,0.0852221548557,0.0850912556052,0.671761751175,0.0984877943993,1582908092.53,0
2020/02/28/11:00:08.026668,11409,1582909208,26599278,vectornav,1266944425.97,2094,774,-1.57407557964,-0.639926552773,-163.413772583,30.673081005,-96.3728975046,85.4385430939,-0.0120912268758,-0.00561966840178,0.106335073709,1.11179959774,0.0853537246585,0.0852229967713,0.672713339329,0.0988271161914,1582908092.53,0
2020/02/28/11:00:08.046693,11410,1582909208,46624305,vectornav,1266944425.99,2094,774,-1.57438659668,-0.639894485474,-163.413040161,30.6730810018,-96.3728975055,85.4364155425,-0.0122392252088,-0.00574283162132,0.106530353427,1.11204659939,0.0854853242636,0.0853549987078,0.673669874668,0.0991668626666,1582908092.53,0
2020/02/28/11:00:08.066685,11411,1582909208,66623423,vectornav,1266944426.01,2094,774,-1.57426643372,-0.639833688736,-163.413040161,30.6730810003,-96.3728975075,85.4342569991,-0.0123813971877,-0.00581814907491,0.106878250837,1.11229372025,0.0856169611216,0.0854865089059,0.674631476402,0.0995072424412,1582908092.53,0
2020/02/28/11:00:08.086708,11412,1582909208,86634298,vectornav,1266944426.03,2094,33542,-1.57433533669,-0.639878809452,-163.412902832,30.6730809981,-96.3728975082,85.4320766652,-0.012332379818,-0.00581631902605,0.107348173857,1.11254096031,0.0857487544417,0.085618853569,0.675598084927,0.0998479127884,1582908092.53,0
2020/02/28/11:00:08.106647,11413,1582909208,106591651,vectornav,1266944426.05,2094,33542,-1.57506895065,-0.639539420605,-163.412094116,30.6730809958,-96.3728975097,85.4299272621,-0.0127586200833,-0.00605109985918,0.107531100512,1.11278831959,0.0858806371689,0.0857509970665,0.676569759846,0.100189447403,1582908092.53,0
2020/02/28/11:00:08.126641,11414,1582909208,126569574,vectornav,1266944426.07,2094,774,-1.57451021671,-0.639008581638,-163.411468506,30.6730809928,-96.372897511,85.4278705326,-0.0132181607187,-0.00601182505488,0.107932075858,1.11303567886,0.086012609303,0.0858832299709,0.677546560764,0.10053153336,1582908092.53,0
2020/02/28/11:00:08.146714,11415,1582909208,146612188,vectornav,1266944426.09,2094,774,-1.57369995117,-0.63859462738,-163.412216187,30.6730809908,-96.3728975129,85.4256264421,-0.0135124251246,-0.00599643867463,0.108337260783,1.11328279972,0.0861446261406,0.0860151052475,0.678528487682,0.100874051452,1582908092.53,0
2020/02/28/11:00:08.166658,11416,1582909208,166573987,vectornav,1266944426.11,2094,774,-1.57411289215,-0.638296246529,-163.412109375,30.6730809883,-96.3728975134,85.4234548832,-0.0138093084097,-0.00594682432711,0.108455993235,1.11353063583,0.0862767398357,0.0861476436257,0.6795155406,0.101217418909,1582908092.53,0
2020/02/28/11:00:08.186707,11417,1582909208,186623312,vectornav,1266944426.13,2094,33542,-1.57414340973,-0.638409078121,-163.412567139,30.673081175,-96.3728975002,85.4572519972,-0.00856710597873,-0.00599161628634,0.103374056518,1.1137740612,0.0844983607531,0.0843663141131,0.669020354748,0.0965213850141,1582908092.53,0
2020/02/28/11:00:08.206662,11418,1582909208,206591508,vectornav,1266944426.15,2094,33542,-1.57388901711,-0.638927638531,-163.412307739,30.6730811727,-96.3728975022,85.4551511016,-0.0087365321815,-0.00599976722151,0.103737980127,1.11402153969,0.0846294537187,0.0844977274537,0.669943094254,0.096857458353,1582908092.53,0
2020/02/28/11:00:08.226688,11419,1582909208,226618511,vectornav,1266944426.17,2094,33542,-1.57448339462,-0.638841986656,-163.412155151,30.6730811714,-96.3728975032,85.4530648965,-0.00907275080681,-0.00594562664628,0.103827543557,1.11426925659,0.084760658443,0.0846293196082,0.670870602131,0.0971945822239,1582908092.53,0
2020/02/28/11:00:08.246679,11420,1582909208,246613734,vectornav,1266944426.19,2094,774,-1.57421517372,-0.639206409454,-163.411987305,30.6730811694,-96.3728975043,85.4510041818,-0.00916539132595,-0.00589946098626,0.103873863816,1.11451673508,0.0848919153214,0.0847607031465,0.671802997589,0.0975316539407,1582908092.53,0
2020/02/28/11:00:08.266753,11421,1582909208,266646115,vectornav,1266944426.21,2094,774,-1.5735887289,-0.639065146446,-163.411453247,30.6730811682,-96.3728975053,85.4489911258,-0.00933462753892,-0.0060468968004,0.104477092624,1.11476457119,0.0850232765079,0.0848920717835,0.672740221024,0.0978693440557,1582908092.53,0
2020/02/28/11:00:08.286613,11422,1582909208,286551833,vectornav,1266944426.23,2094,33542,-1.57429087162,-0.639176309109,-163.411529541,30.6730811659,-96.3728975071,85.4468461456,-0.00980060175061,-0.00611397065222,0.10474036634,1.1150124073,0.0851547420025,0.085023753345,0.673682272434,0.0982079580426,1582908092.53,0
