time,.data
2020/02/28/11:00:15.970076,0.3621024
2020/02/28/11:00:16.003996,0.3621024
2020/02/28/11:00:16.037194,0.3710432
2020/02/28/11:00:16.070706,0.3844544
2020/02/28/11:00:16.103532,0.3933952
2020/02/28/11:00:16.136927,0.3933952
2020/02/28/11:00:16.170289,0.3889248
2020/02/28/11:00:16.204421,0.402336
2020/02/28/11:00:16.237445,0.4068064
2020/02/28/11:00:16.270811,0.4157472
2020/02/28/11:00:16.304072,0.4202176
2020/02/28/11:00:16.337109,0.4202176
2020/02/28/11:00:16.370739,0.424688
2020/02/28/11:00:16.404480,0.4380992
2020/02/28/11:00:16.437498,0.44704
2020/02/28/11:00:16.471217,0.44704
2020/02/28/11:00:16.503968,0.4515104
2020/02/28/11:00:16.537678,0.4604512
2020/02/28/11:00:16.570833,0.4649216
2020/02/28/11:00:16.604504,0.4738624
2020/02/28/11:00:16.638468,0.4783328
2020/02/28/11:00:16.672107,0.4872736
2020/02/28/11:00:16.705021,0.4872736
2020/02/28/11:00:16.738376,0.491744
2020/02/28/11:00:16.771883,0.5006848
2020/02/28/11:00:16.805088,0.514096
2020/02/28/11:00:16.839017,0.514096
2020/02/28/11:00:16.873012,0.5230368
2020/02/28/11:00:16.905269,0.5319776
2020/02/28/11:00:16.939009,0.5319776
2020/02/28/11:00:16.971937,0.5453888
2020/02/28/11:00:17.005211,0.5543296
2020/02/28/11:00:17.038975,0.5588
2020/02/28/11:00:17.072333,0.5543296
2020/02/28/11:00:17.105951,0.5632704
2020/02/28/11:00:17.138763,0.5722112
2020/02/28/11:00:17.172141,0.581152
2020/02/28/11:00:17.205531,0.581152
2020/02/28/11:00:17.238819,0.5856224
2020/02/28/11:00:17.272567,0.5856224
2020/02/28/11:00:17.305311,0.5990336
2020/02/28/11:00:17.338959,0.603504
2020/02/28/11:00:17.372088,0.6124448
2020/02/28/11:00:17.406040,0.6213856
2020/02/28/11:00:17.439557,0.6213856
2020/02/28/11:00:17.472407,0.625856
2020/02/28/11:00:17.505844,0.6347968
2020/02/28/11:00:17.538754,0.6392672
2020/02/28/11:00:17.572052,0.648208
2020/02/28/11:00:17.605750,0.6526784
2020/02/28/11:00:17.638864,0.6616192
2020/02/28/11:00:17.672522,0.67056
2020/02/28/11:00:17.705302,0.6750304
